"","Date","Time","datetime","New.York","mon","shr","year"
"1","19/7/13","17:00:00","19/07/13 17:00:00",310.24,"07","17","13"
"2","20/7/13","16:00:00","20/07/13 16:00:00",309.82,"07","16","13"
"3","19/7/13","16:00:00","19/07/13 16:00:00",309.7,"07","16","13"
"4","19/7/13","14:00:00","19/07/13 14:00:00",309.62,"07","14","13"
"5","19/7/13","20:00:00","19/07/13 20:00:00",309.37,"07","20","13"
"6","19/7/13","19:00:00","19/07/13 19:00:00",309.08,"07","19","13"
"7","18/7/13","17:00:00","18/07/13 17:00:00",309.05,"07","17","13"
"8","20/7/13","17:00:00","20/07/13 17:00:00",309.05,"07","17","13"
"9","20/7/13","18:00:00","20/07/13 18:00:00",309.02,"07","18","13"
"10","20/7/13","15:00:00","20/07/13 15:00:00",308.99,"07","15","13"
"11","20/7/13","19:00:00","20/07/13 19:00:00",308.99,"07","19","13"
"12","19/7/13","18:00:00","19/07/13 18:00:00",308.91,"07","18","13"
"13","20/7/13","14:00:00","20/07/13 14:00:00",308.76,"07","14","13"
"14","20/7/13","20:00:00","20/07/13 20:00:00",308.68,"07","20","13"
"15","19/7/13","15:00:00","19/07/13 15:00:00",308.63,"07","15","13"
"16","19/7/13","21:00:00","19/07/13 21:00:00",308.37,"07","21","13"
"17","23/7/16","21:00:00","23/07/16 21:00:00",308.37,"07","21","16"
"18","16/7/13","17:00:00","16/07/13 17:00:00",308.29,"07","17","13"
"19","18/7/13","18:00:00","18/07/13 18:00:00",308.23,"07","18","13"
"20","13/8/16","19:00:00","13/08/16 19:00:00",308.22,"08","19","16"
"21","23/7/16","22:00:00","23/07/16 22:00:00",308.16,"07","22","16"
"22","14/8/16","19:00:00","14/08/16 19:00:00",308.11,"08","19","16"
"23","14/8/16","20:00:00","14/08/16 20:00:00",308.11,"08","20","16"
"24","20/7/13","21:00:00","20/07/13 21:00:00",308,"07","21","13"
"25","19/7/13","22:00:00","19/07/13 22:00:00",307.97,"07","22","13"
"26","16/7/13","16:00:00","16/07/13 16:00:00",307.91,"07","16","13"
"27","13/8/16","20:00:00","13/08/16 20:00:00",307.88,"08","20","16"
"28","13/8/16","18:00:00","13/08/16 18:00:00",307.85,"08","18","16"
"29","23/7/16","20:00:00","23/07/16 20:00:00",307.8,"07","20","16"
"30","17/7/13","16:00:00","17/07/13 16:00:00",307.78,"07","16","13"
"31","14/8/16","21:00:00","14/08/16 21:00:00",307.75,"08","21","16"
"32","13/6/17","20:00:00","13/06/17 20:00:00",307.72,"06","20","17"
"33","8/7/13","20:00:00","08/07/13 20:00:00",307.71,"07","20","13"
"34","7/7/13","17:00:00","07/07/13 17:00:00",307.7,"07","17","13"
"35","14/8/16","18:00:00","14/08/16 18:00:00",307.69,"08","18","16"
"36","18/7/13","13:00:00","18/07/13 13:00:00",307.63,"07","13","13"
"37","13/8/16","17:00:00","13/08/16 17:00:00",307.63,"08","17","16"
"38","23/7/16","23:00:00","23/07/16 23:00:00",307.61,"07","23","16"
"39","13/6/17","21:00:00","13/06/17 21:00:00",307.53,"06","21","17"
"40","23/7/16","19:00:00","23/07/16 19:00:00",307.48,"07","19","16"
"41","13/6/17","22:00:00","13/06/17 22:00:00",307.48,"06","22","17"
"42","20/7/13","22:00:00","20/07/13 22:00:00",307.47,"07","22","13"
"43","17/7/13","20:00:00","17/07/13 20:00:00",307.46,"07","20","13"
"44","8/7/13","19:00:00","08/07/13 19:00:00",307.41,"07","19","13"
"45","18/7/13","19:00:00","18/07/13 19:00:00",307.41,"07","19","13"
"46","17/7/13","17:00:00","17/07/13 17:00:00",307.4,"07","17","13"
"47","16/7/13","18:00:00","16/07/13 18:00:00",307.37,"07","18","13"
"48","7/7/13","19:00:00","07/07/13 19:00:00",307.32,"07","19","13"
"49","16/7/13","19:00:00","16/07/13 19:00:00",307.28,"07","19","13"
"50","17/7/13","18:00:00","17/07/13 18:00:00",307.28,"07","18","13"
"51","8/7/13","21:00:00","08/07/13 21:00:00",307.24,"07","21","13"
"52","13/6/17","19:00:00","13/06/17 19:00:00",307.23,"06","19","17"
"53","8/9/15","19:00:00","08/09/15 19:00:00",307.22,"09","19","15"
"54","12/8/16","18:00:00","12/08/16 18:00:00",307.21,"08","18","16"
"55","22/7/16","21:00:00","22/07/16 21:00:00",307.2,"07","21","16"
"56","14/8/16","22:00:00","14/08/16 22:00:00",307.2,"08","22","16"
